"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,46.7998826320272,177.858372000112,96.5443758394095,62.4793364916143,99.2132961432561,1673.65064345607,1419,1192.72371624415,1567.5,1332,1488,1332,70.9994655802099
"2002/2003",2003,120,120,100,32.0249836510204,123.778742159867,111.816587971267,51.7915479815948,100.838340781723,1240.13245158227,871.5,705.071098908425,1152.5,792.5,1125,792.5,63.1011746473487
"2003/2004",2004,120,120,100,48.1324588531374,193.031340197856,94.1023195177776,75.389723613672,106.657679496867,1731.19892609537,1304.5,1034.38170546571,1608,1163.5,1695,1163.5,74.7407530067591
"2004/2005",2005,121,121,100,46.5490293866891,196.57139042767,86.8409043702398,69.415571941526,104.216980668359,1842.12379156051,1481,1246.05857200974,1713.5,1365.5,1641,1364,78.7592754630529
"2005/2006",2006,120,120,100,43.7430359899166,168.115956838487,99.2098471583919,64.7020983397632,102.498737404828,1562.02453605684,1170.5,974.034246235569,1434.5,1084.5,1380,1084.5,72.4650152223977
"2006/2007",2007,120,120,100,56.9042939591765,224.443708124029,93.6412374046186,74.0817963588208,102.767916119223,1712.35385413438,1362.5,1127.96843611942,1596,1276,1554,1276,72.612762717152
"2007/2008",2008,120,120,100,32.8478671364968,129.53087241855,113.831914402771,54.471107250887,102.058700805553,1204.3322656588,827,638.363479142758,1116,724,1110,724,59.1015846086791
"2008/2009",2009,121,121,100,49.0104098270299,209.642682689892,89.3784872796897,66.1501847175567,101.8976513482,1730.94044325588,1458.5,1224.3812655035,1644,1374.5,1504,1374,75.7902166833635
"2009/2010",2010,120,120,100,48.7004761149669,181.318250632946,95.4123001938365,74.0660592795655,106.526984757743,1707.73826521642,1276,987.350704206092,1592,1136,1599,1136,72.0467957038845
"2010/2011",2011,120,120,100,46.3940383833266,173.866625729315,97.9750597276369,72.356063047411,105.897372060055,1665.67946886623,1248,985.874478133104,1544.5,1116,1593,1116,70.8106332456925
"2011/2012",2012,120,120,100,32.7039170999601,134.647413962611,113.060692109951,49.2092931173978,97.8994879759793,1237.90650849255,940.5,799.709181070259,1152,866,1105,865.5,62.5472398884467
"2012/2013",2013,121,121,100,45.9441100816116,176.486319846886,98.2970992635013,73.3071446984608,106.978835164202,1597.52050413186,1145.5,907.240344675371,1472.5,1017,1514,1017,71.2012062235503
"2013/2014",2014,120,120,100,32.6561560317276,108.950983956504,115.754493599296,47.6031631580902,97.2380581328358,1202.8984067526,937,769.156568095321,1133,877.5,1067,877.5,59.9948492219269
"2014/2015",2015,120,120,100,46.1519211656061,181.459615681935,97.6336048684427,64.6802416767059,101.914840407013,1636.62152344477,1278.5,1044.28623567491,1517.5,1150.5,1502,1148,69.6570841162911
"2015/2016",2016,120,120,100,39.2924345227592,139.930286884756,101.720596798695,58.7582311206487,102.172425384594,1508.59780407639,1173.5,959.34140449456,1396.5,1063,1379,1063,71.3209435918257
"2016/2017",2017,121,121,100,41.4101801872743,173.759237236731,95.8965800445691,56.6372395322349,100.255311094269,1577.91056898174,1313,1103.43186874985,1476.5,1226,1369,1224.5,72.1546242886288
"2017/2018",2018,120,120,100,34.2149556699245,139.771563453424,109.624057720902,56.0043535475275,100.924455182396,1366.8209281505,993,815.30232403124,1272,905.5,1243,905.5,64.3646075264701
"2018/2019",2019,120,120,100,39.2342298506046,138.234174532095,106.342050449083,60.6431200887515,102.419027460322,1475.04449403957,1097,876.498742742326,1381,1005,1370,1005,65.5350365369832
