"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,45.9175208745782,181.908267383101,92.2607702544354,59.9824335274191,97.9243303430131,1710.0449152129,1463.5,1292.13948829334,1584,1427,1461,1425.5,73.7528435926276
"2002/2003",2003,120,120,100,38.0944029587546,146.048801294253,106.069696970925,58.2755125285061,102.386587317429,1402.68071369068,1066.5,816.629124595705,1303,938.5,1312,938.5,67.2250898896779
"2003/2004",2004,120,120,100,53.7360957238242,210.981600869901,89.5832676600007,79.0785456466489,105.960523419015,1849.10876605162,1470.5,1189.1727561044,1746.5,1345,1747,1345,76.3661279717271
"2004/2005",2005,121,121,100,47.3947391689823,207.966525563914,83.0817635133316,67.7360659383632,102.756394609421,1902.37545804792,1575,1373.77421255155,1782.5,1502,1693,1499.5,80.9859100008705
"2005/2006",2006,120,120,100,47.5797552112675,184.818964770754,95.5052439432958,65.4401533489692,100.477792562275,1699.06013355573,1336,1155.63567819716,1579,1271,1531,1271,74.0548902543388
"2006/2007",2007,120,120,100,55.7772726315201,232.165733509998,89.222135202979,70.6122369961032,101.803750646898,1734.60200306852,1389.5,1210.63348454914,1610,1320,1531,1320,74.1645608895051
"2007/2008",2008,120,120,100,38.9698050766293,153.630680923033,108.829247967624,60.8596571550325,102.446163709016,1360.12991011963,968.5,755.023778009579,1259.5,850.5,1263,850.5,60.5698796206098
"2008/2009",2009,121,121,100,51.6192619233123,227.620375414487,85.9459592879178,67.0327286420813,100.194233664965,1818.30729270995,1531,1312.72755842073,1719,1452.5,1622,1449.5,77.2883649256694
"2009/2010",2010,120,120,100,53.8568271897667,205.70295201171,91.4295322181997,76.3029605185487,105.296947068683,1835.79612427176,1441,1148.40721188506,1740,1321,1695,1321,75.7998655329127
"2010/2011",2011,120,120,100,56.2000928712964,208.118217072338,94.6128350435489,76.9619970494778,103.549246018248,1830.68789309092,1447.5,1185.63252568624,1718.5,1344,1715,1344,73.0943902738468
"2011/2012",2012,120,120,100,34.9644339191392,137.020209480278,108.287442686672,51.0892798834289,97.8014655154621,1318.71902060341,1054.5,878.845964057429,1221.5,970,1155,968.5,66.3863870174966
"2012/2013",2013,121,121,100,50.125626734379,202.03530244052,94.3825398890994,74.6182772039943,105.824654949516,1748.05158723827,1331,1089.43214326573,1620.5,1222,1621,1222,75.0138719735305
"2013/2014",2014,120,120,100,32.0044740703729,109.506786359533,111.565286019229,47.5219701523102,96.3623541540927,1253.20170958653,971.5,869.858188246246,1130,926,1109,925.5,63.8930844377023
"2014/2015",2015,120,120,100,44.8136905447517,183.904736747071,93.4271049845325,64.9390812791747,101.140247412153,1691.359335163,1345,1121.3039460408,1582.5,1246,1512,1240,72.1555287612618
"2015/2016",2016,120,120,100,39.7202065013119,148.162514567237,97.3251915743965,58.5705354121493,101.055870557324,1558.85569076342,1197,1037.974851693,1441,1129,1377,1129,71.2808041518374
"2016/2017",2017,121,121,100,43.5116126781033,176.745043021119,91.2881586029111,59.3867171190116,100.508353370763,1638.9571234653,1347.5,1136.02961142737,1516.5,1260.5,1401,1255,73.4715579547897
"2017/2018",2018,120,120,100,35.7178427410537,142.098654212497,105.445607504755,56.2728125010299,99.8916889933713,1421.74061667858,1084,920.61294662673,1315.5,1019,1210,1019,64.2160686536804
"2018/2019",2019,120,120,100,40.7264534542523,141.946063866013,101.531470969078,60.8240389960116,102.227965036795,1547.40952479601,1179.5,984.54203333371,1451.5,1110.5,1388,1110.5,67.7017773476095
"2019/2020",2020,120,120,100,52.6576966842502,208.036665890172,85.0342581033325,67.8836226391275,100.595349327748,1881.53967879941,1581.5,1360.71657837133,1753.5,1518.5,1644,1509.5,79.73242113384
"2020/2021",2021,121,121,100,36.7330711820036,158.921580829783,100.318230259419,62.4104997637073,105.294939414093,1457.36751146133,1056.5,873.718263555573,1328.5,976.5,1297,976.5,70.1213578406023
"2021/2022",2022,120,120,100,27.9634115000303,127.958193118598,100.680152000305,47.4935751762439,97.3385323015185,1336.14955779885,986.5,856.9342783502,1205.5,929.5,1101,907,65.4729016198817
"2022/2023",2023,120,120,100,43.1183716186515,168.477721035339,94.7466734243617,64.9254407214571,103.745987064087,1676.81916218187,1297,1091.37476653352,1554.5,1221.5,1468,1221.5,68.3943383594215
"2023/2024",2024,120,120,100,53.5501342873499,231.216809973154,80.6160191987552,71.6334513594986,101.731644163171,1963.40298320222,1625,1404.6077551306,1845,1554,1707,1554,79.0888207986663
"2024/2025",2025,121,121,100,46.1015087362227,179.857433453268,97.9979086484606,69.5208956272019,105.031825185244,1702.35695211563,1299,1058.32552302596,1597.5,1192.5,1558,1192.5,74.5860282823587
"2025/2026",2026,120,120,100,27.8322998893124,129.545192501411,122.876042211878,42.0129152130899,93.7516247962128,1023.54817659011,757.5,652.735741330995,934.5,700.5,899,700.5,54.170153894358
"2026/2027",2027,120,120,100,52.9085357528771,205.593777039639,85.3524360181302,72.621188013064,103.324697198164,1900.31784422605,1565.5,1318.94728461787,1776.5,1466.5,1676,1466.5,79.9784794531424
"2027/2028",2028,120,120,100,29.1356565829297,110.616940352778,114.813215648473,53.002203543494,102.709189311085,1228.58755692192,840.5,637.668472106263,1124,724,1176,724,57.0553911484594
"2028/2029",2029,121,121,100,39.3700011060681,183.538415477334,90.4827164565245,61.2057054596217,102.449909004687,1600.94874745197,1236.5,1075.44979462264,1492,1151.5,1367,1151.5,73.304480889441
"2029/2030",2030,120,120,100,39.6237874668766,168.312522662261,100.761496900046,56.9033112660171,99.9525306167053,1499.8248055009,1182,1035.9819511391,1383,1136,1320,1136,72.2551321210849
"2030/2031",2031,120,120,100,47.5171104514796,202.606206195248,90.1455016842656,71.9266739235897,104.222713822978,1695.21190621523,1309.5,1092.67086369156,1579,1196,1567,1196,76.5429604646251
