"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,48.0042093461233,185.482921889137,90.1248680339251,61.5521905014506,98.149783145119,1784.05635882195,1540,1366.98095179321,1670.5,1508.5,1492,1507,76.1839039169759
"2002/2003",2003,120,120,100,40.0915009601947,147.979881855082,103.954022955504,60.9449309342795,102.844275340095,1480.89975884582,1147,884.67037152792,1383.5,1020.5,1389,1020.5,68.8688807730718
"2003/2004",2004,120,120,100,57.5764970002398,217.321333755955,87.7695591892532,80.0896622204284,105.360943340248,1934.7488891563,1580,1280.49068851444,1821.5,1456,1823,1456,78.8059703504519
"2004/2005",2005,121,121,100,47.7525745002732,197.685854823828,81.6666983780552,66.6526220409211,101.431372176682,1929.92629743205,1627.5,1436.85028377557,1802.5,1552,1666,1549.5,82.4634832737497
"2005/2006",2006,120,120,100,48.7032669753371,185.62429743382,93.9285622409961,65.8150239377988,99.7608915884003,1782.30677116075,1448.5,1251.9363149971,1657,1375,1600,1375,75.8040861467563
"2006/2007",2007,120,120,100,56.5625491653848,233.944485579385,87.2557057002893,70.977177336279,101.866792191501,1804.08050510877,1456.5,1272.42830717282,1672,1382.5,1601,1382.5,73.8955466505541
"2007/2008",2008,120,120,100,42.5704569499703,160.222961918697,106.405727849712,64.7187568847102,103.235553875328,1460.10180565178,1035,819.845728950062,1355.5,916,1393,916,61.8669738816359
"2008/2009",2009,121,121,100,51.8118408574566,217.867728442452,84.5253815427752,64.9518231670894,98.9681219987365,1848.39719873784,1600,1385.5848472232,1743.5,1513.5,1615,1510.5,78.4190424548224
"2009/2010",2010,120,120,100,55.4143055754103,206.235652398507,89.727324973373,76.1705972029195,104.126442762909,1899.75113465267,1516,1247.5540910259,1786.5,1415,1754,1415,77.0681495184972
"2010/2011",2011,120,120,100,59.2318308333349,212.897562607549,92.9668798181564,78.3002145087822,102.768489750823,1909.85962036064,1555.5,1279.43336467617,1799,1451.5,1782,1451.5,74.6926123729629
"2011/2012",2012,120,120,100,36.2665447647495,136.010210417247,106.046134436852,51.9140116518066,97.7658727549968,1370.3803415513,1113,935.804686639851,1277,1034,1175,1031.5,66.170412411954
"2012/2013",2013,121,121,100,54.0916924789797,209.019294111638,92.6230563796042,77.3651028686544,105.469428871276,1853.88878922924,1450,1189.50482037247,1729.5,1333.5,1723,1333.5,75.839947831402
"2013/2014",2014,120,120,100,34.4544228153028,116.374705119215,109.500194753114,50.917204999022,97.2707518404871,1343.91707156649,1063,930.719045158374,1220,1003,1176,1002.5,66.3184324016324
"2014/2015",2015,120,120,100,48.9923497979628,190.692641956104,91.2824758134923,67.2903338691181,101.309109648446,1795.84739202834,1449.5,1211.63408833348,1683.5,1362,1635,1356,74.3610542669171
"2015/2016",2016,120,120,100,41.1547018328323,144.888240475257,95.6171712596705,58.5400443127972,100.46390020023,1621.29750461299,1279.5,1120.69734355027,1498.5,1217,1407,1217,73.9100586744603
