"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,46.9132794910901,187.526472414557,91.6092655954797,60.1982805956064,97.7343006569403,1734.50358279668,1489.5,1331.97834611993,1605,1469.5,1444,1468,75.4126200733341
"2002/2003",2003,120,120,100,39.4561418843279,148.99741136801,105.347972403038,59.8942292783155,102.414005251205,1432.68937158779,1102,844.167195281169,1331.5,976.5,1352,976.5,68.3032499575664
"2003/2004",2004,120,120,100,55.8207253769503,213.656337245821,88.6427806995771,80.0261077185385,105.94225072489,1881.09347800412,1502,1219.01254454032,1765,1382,1771,1382,78.0836978740101
"2004/2005",2005,121,121,100,47.1506077082175,203.482365468541,82.4818050776758,67.0301271957924,102.045797787368,1899.82121583206,1592.5,1395.98334286854,1779.5,1510,1649,1508.5,82.513381791126
"2005/2006",2006,120,120,100,46.5719226948754,185.392738892542,95.1900074541349,64.2692187767724,99.4418496932341,1724.09313138341,1387.5,1204.07232483333,1589.5,1326.5,1528,1326,74.9069039478504
"2006/2007",2007,120,120,100,54.348026757616,228.42888133138,88.163528575943,70.7056653661916,102.384775001763,1743.55711474769,1389,1210.09138515794,1625,1320.5,1520,1320.5,73.6878435344601
"2007/2008",2008,120,120,100,39.8586048687085,157.280198534425,107.769859286704,62.6845126523143,103.090300620209,1385.87265352052,970,763.501345873605,1270,843.5,1294,843.5,60.2825123161826
"2008/2009",2009,121,121,100,52.2452315622604,225.139785322042,85.7481992879218,65.2337848815985,98.9814061834939,1813.60765025828,1567,1350.32709001953,1693.5,1483.5,1569,1479.5,77.9731773814249
"2009/2010",2010,120,120,100,53.0751947707361,205.360960759327,90.8269169952396,74.7338960565705,104.486571032814,1835.96957483231,1442,1187.82814644399,1721,1346,1680,1346,75.4337121588931
"2010/2011",2011,120,120,100,57.6672572860249,210.92566710286,94.1031158855265,77.5625214041079,103.129322672209,1853.60747941725,1487.5,1216.98088663416,1743,1368.5,1754,1368.5,73.0922930322552
"2011/2012",2012,120,120,100,35.3534398112241,136.39143567047,107.894524366387,50.5773936562428,97.0897176473227,1321.84656560167,1065.5,902.00608944285,1233.5,1001,1131,998.5,65.1478190618072
"2012/2013",2013,121,121,100,51.8975050087219,205.19893007894,93.6739121528634,75.7219608459166,105.777054897705,1786.43199783874,1382.5,1130.17637094199,1657,1259,1669,1259,75.4118044648235
"2013/2014",2014,120,120,100,33.6059602767033,115.025816505639,111.00445355522,49.0835360779297,96.6602904516003,1306.55838532146,1031.5,901.560793600205,1189.5,978.5,1141,978,63.6317123821586
"2014/2015",2015,120,120,100,48.0051499932647,192.471583127428,92.5966383299947,67.0665296153629,101.443290396149,1754.73985730777,1399,1166.25000654343,1638.5,1297.5,1607,1292,74.7967821053471
