"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,49.964753940886,197.058754112752,87.2536534086151,63.5178605311033,98.3782645746888,1828.71538221736,1577,1397.96652812402,1708,1543.5,1529,1542,76.8335503540157
"2002/2003",2003,120,120,100,41.5621652766353,158.422648646161,101.052772837703,62.4531427175018,103.129071751369,1527.95836025893,1184,931.350022107897,1434,1063.5,1398,1063.5,70.2907676995225
"2003/2004",2004,120,120,100,58.8174214701999,227.129602234415,85.4687170461559,79.3372937883281,104.218158740643,1977.8580137476,1658,1359.60815011856,1869,1541,1820,1541,80.0097313777434
"2004/2005",2005,121,121,100,48.5614529053028,198.846189443779,79.4697993318184,66.2031320217259,100.510374998499,1951.86249787682,1677.5,1476.51266590793,1810.5,1605,1648,1599.5,83.0358274489099
"2005/2006",2006,120,120,100,51.0643691954845,197.489987046905,90.738902763453,67.7956642013309,99.9473577865668,1838.06051652239,1514,1307.60144005541,1716.5,1420,1652,1420,76.34630826855
"2006/2007",2007,120,120,100,58.9030939031006,245.695154325449,84.8494466625222,70.9119023609177,100.98366277178,1855.90865283296,1534.5,1344.62456000121,1719,1457,1612,1457,75.3473032620518
"2007/2008",2008,120,120,100,46.5337754111317,174.643247642394,103.451369797112,66.4401411834523,103.16737387956,1538.70036683694,1131.5,894.225119355713,1423.5,992,1492,992,64.355602536788
"2008/2009",2009,121,121,100,51.2084634680965,221.756344026153,81.9466926365874,64.2717179283638,98.7258844203185,1863.96150259057,1608,1405.07638558597,1753,1525,1611,1520.5,79.9103654076175
"2009/2010",2010,120,120,100,58.9242026726704,216.276685214794,87.2243964062921,77.7410672296443,103.470557311525,1958.3688690772,1598.5,1322.90667450021,1837.5,1480.5,1800,1478.5,78.2413901479422
"2010/2011",2011,120,120,100,60.6018922717926,220.153354856017,90.3760124248669,77.8144648060994,102.244815104168,1960.67745709856,1617,1349.80586423378,1839.5,1520.5,1829,1520.5,75.0454164800831
"2011/2012",2012,120,120,100,36.3516599496517,143.609803272303,102.679150281545,52.7796316334142,98.4627788635856,1409.30467712015,1141,966.115291244809,1307.5,1061,1216,1058.5,67.5776736518419
"2012/2013",2013,121,121,100,57.3949443569187,222.333157845757,89.8453637443549,78.8435754265532,104.96617045509,1913.83737557013,1533,1261.39073817426,1787.5,1426.5,1753,1426.5,79.9931619534414
"2013/2014",2014,120,120,100,36.3939926493012,125.600309309627,105.936063270977,53.5249823812066,98.1830861176626,1391.16756287062,1102,966.608233310661,1265,1044.5,1217,1044,67.0563149857403
"2014/2015",2015,120,120,100,50.7537642574839,198.751960177716,88.5515883219555,67.8929525409952,100.967118877115,1835.34053005005,1518.5,1275.81725496687,1719,1431.5,1631,1425.5,77.4576450389009
"2015/2016",2016,120,120,100,43.798101516696,156.198240165047,92.6947766596495,60.7107270900517,100.602709069829,1687.69864330811,1360.5,1180.90401969296,1570,1285,1469,1285,75.6070158653347
"2016/2017",2017,121,121,100,46.4400193744361,187.660541613953,86.6862672592378,61.7973999415653,100.399046126159,1758.49984177254,1461.5,1256.37966395806,1641.5,1388.5,1474,1383,77.2694711572726
"2017/2018",2018,120,120,100,42.6332676878535,163.356435833204,100.130094271109,62.3882015080361,100.110788046078,1576.38749481944,1233.5,1057.88906392101,1469.5,1161,1369,1161,68.1085524520399
"2018/2019",2019,120,120,100,45.1922935058258,154.632714900345,96.4656546739082,64.6833163841162,102.335901570933,1693.8937639419,1332.5,1129.75768065018,1588.5,1252.5,1545,1251,73.4112919133445
"2019/2020",2020,120,120,100,52.0668936930403,211.480317848166,81.1671448195659,65.3034943548785,98.5408175027582,1942.55531767124,1696,1503.39235305445,1821,1636,1658,1627,81.6670872525788
"2020/2021",2021,121,121,100,42.5471420373849,177.418974716269,95.3413245756571,67.8802478346707,105.624207490258,1597.26260027896,1196,984.731541627676,1473.5,1081.5,1438,1081.5,73.0119356815194
"2021/2022",2022,120,120,100,35.5123059567554,147.977057373115,95.42371262786,53.6609705431314,97.9306390241894,1518.32274458442,1169.5,1006.81358318505,1391,1091.5,1338,1070,72.6110814423701
"2022/2023",2023,120,120,100,47.7146887678807,183.816074081788,89.9899707556618,70.9384461240854,104.297671602969,1861.26850273121,1469,1230.45548686452,1735,1366.5,1674,1366.5,74.6645424033554
"2023/2024",2024,120,120,100,57.2669415430154,240.178676476323,76.6037032818526,73.6715260294695,100.251176845252,2087.89490943796,1792,1549.72079460489,1962.5,1719,1809,1717,82.5220714343272
"2024/2025",2025,121,121,100,48.3626565289001,186.759614750878,93.5707765323406,69.38533694555,104.211642997606,1811.83049877128,1450,1202.02011125176,1696,1346,1618,1346,77.5674573638717
"2025/2026",2026,120,120,100,29.6677172947252,139.383466335505,117.133181579341,42.9234906246499,94.3303699177674,1116.92282559097,857.5,748.290612315897,1030,808,948,808,58.5787199407268
"2026/2027",2027,120,120,100,54.8909425702566,216.182827513587,81.243759202342,73.2793020843956,102.260955963614,2022.63116548823,1720,1483.41969597102,1904.5,1652.5,1780,1652.5,82.2906163352363
"2027/2028",2028,120,120,100,32.622346159727,120.531376641384,109.674568398428,56.7095147027109,103.170699713964,1372.23571217294,991.5,767.988913764369,1262.5,887.5,1272,887.5,62.9266368757144
"2028/2029",2029,121,121,100,42.9458872776229,198.227430363198,85.7678897293196,65.3001344321978,102.807959303831,1740.31205034384,1392,1209.4743494048,1632.5,1286.5,1492,1286.5,78.9839218397192
"2029/2030",2030,120,120,100,44.1022421291225,184.89222918344,95.7260352873828,61.5333256335919,100.325915598593,1635.41451535917,1340.5,1155.56457080293,1525,1264.5,1443,1264,74.0570536200203
"2030/2031",2031,120,120,100,54.1947733288957,227.431256397607,85.7162764749817,75.8877030583193,103.624292391306,1845.13527788887,1491.5,1243.03246387609,1721,1362,1702,1362,80.9156213597316
"2031/2032",2032,120,120,100,57.6726219537436,231.565323108938,80.1387950990993,72.965806085076,101.434831965947,2007.82169885798,1707,1515.0277976596,1867,1653,1709,1651.5,82.2599218380337
"2032/2033",2033,121,121,100,40.2622237913526,147.868223110614,105.84445177791,61.117831870583,102.898128822179,1488.93933708742,1152,931.577477633095,1377.5,1048.5,1374,1048.5,69.8045566295796
"2033/2034",2034,120,120,100,41.7139952040244,182.590197450001,97.6026699152469,59.4849530434368,98.7536193551675,1526.2763770968,1204,1023.25326915302,1417,1139,1302,1130,68.5491614985031
"2034/2035",2035,120,120,100,39.4182373942971,157.916436814863,98.3601243028962,57.2741570649265,99.6947099468079,1563.33429871371,1250.5,1063.87306758483,1463,1165.5,1360,1163.5,71.8049685700325
"2035/2036",2036,120,120,100,53.2861801582892,197.515951063018,93.5685471114676,68.3428175227774,100.192601585231,1788.73992561741,1505.5,1290.87083463778,1681.5,1432.5,1586,1432,75.7189839713528
"2036/2037",2037,121,121,100,41.9189726388304,160.131262452268,100.856661260407,61.1640551246365,102.348867354594,1542.69751239082,1214,986.716099671132,1431,1103.5,1420,1102,71.2600908521945
"2037/2038",2038,120,120,100,48.0758390175516,174.240546947827,91.2875069620392,66.2247412178752,101.152642293675,1797.52778429328,1483.5,1269.76991994299,1690.5,1408,1544,1408,75.9163241996221
"2038/2039",2039,120,120,100,60.3066341586276,227.613000367342,79.4814046163394,72.9087936558927,100.049773521501,2150.87479777131,1891,1653.16273549144,2019,1833,1848,1833,83.3903875529668
"2039/2040",2040,120,120,100,50.8714254017714,207.796345767593,83.914749434793,74.4782015781728,103.984301105022,1945.95107098002,1551.5,1313.17977527046,1806.5,1443.5,1769,1437.5,81.1815222879859
"2040/2041",2041,121,121,100,52.8942528912849,214.931870023946,86.6454305107697,72.2595815776384,103.800132254635,1947.24871235053,1595,1346.36073857592,1857,1497,1736,1497,78.8724891703914
"2041/2042",2042,120,120,100,54.8913959161223,173.979508192156,90.4093570625087,66.9556043235189,97.1324471410361,2010.74277675868,1786,1558.00824951094,1900.5,1754,1734,1754,81.1715535114481
"2042/2043",2043,120,120,100,40.7530512402284,164.266545395356,100.733982838588,62.2719545354099,103.389626230175,1447.23266379719,1077.5,887.350674469766,1331,990,1267,990,71.0145564282939
"2043/2044",2044,120,120,100,61.8584786686304,225.094186109067,84.3271922397066,78.7868781497386,102.92217846594,2034.97520213548,1681,1417.98177114954,1909.5,1605.5,1829,1602.5,80.7876648658003
"2044/2045",2045,121,121,100,39.5786375011619,156.227497385226,107.388933723427,63.6075658675081,102.515323494247,1519.93568181363,1111,886.022077827642,1423,996,1424,996,68.3175284442332
"2045/2046",2046,120,120,100,41.7038728767626,187.770456727107,90.6038887214177,59.1914734602175,99.5338763493138,1607.63486283532,1296.5,1104.86846184733,1469,1244.5,1377,1225,73.4230527055615
"2046/2047",2047,120,120,100,47.2912726912657,176.772276379387,103.475160312398,62.9475738870717,97.8534679676722,1669.79379536229,1360.5,1136.72159889829,1555.5,1287,1493,1287,72.47257769118
"2047/2048",2048,120,120,100,49.0414963914729,167.036123674596,95.1263010133694,70.5166796475927,104.316300267846,1740.12334261177,1364,1115.62438820077,1611,1278,1591,1278,73.4223245113481
"2048/2049",2049,121,121,100,48.5924850445588,185.657880333453,94.6502277964463,72.4392540262664,106.557574194679,1666.04513055098,1269.5,1021.4438187879,1542,1138.5,1602,1138.5,75.4541210562202
"2049/2050",2050,120,120,100,38.2760321996932,150.646499046073,101.501725636798,65.7431063179893,106.544564559963,1456.94738869421,1001,773.681944437398,1340,881.5,1348,881.5,69.6166436585409
"2050/2051",2051,120,120,100,40.8895127955839,178.493911533387,90.4489599629857,61.629530794982,101.247441395535,1595.91491866176,1222,1094.87633577164,1475,1161,1329,1161,71.7973652383098
"2051/2052",2052,120,120,100,54.684967886257,207.686824021697,88.3056985521355,68.4909501127648,97.8497980068354,1893.25014510745,1653,1404.50681744897,1800.5,1559,1671,1554,80.5130999997582
"2052/2053",2053,121,121,100,51.3390296780145,185.706301887244,91.8909653963667,69.0178761414074,100.784567025284,1935.11755363908,1629,1377.10935581721,1837.5,1556,1704,1556,77.8356675545037
"2053/2054",2054,120,120,100,49.8788784456172,195.923618514976,84.4600107909565,66.239955892914,100.463511343944,1924.37546687384,1608.5,1425.1219415394,1788,1544,1651,1542.5,79.3484510231301
"2054/2055",2055,120,120,100,51.2418160845418,186.742244650814,91.868914783768,71.3649664078144,102.937338081213,1821.94600694819,1487.5,1231.24774773253,1708,1374,1656,1374,76.1383689427184
