"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,45.1270985357226,202.012299160353,87.2150716991482,57.8596237755142,96.4917962339069,1735.93860469492,1513,1372.09974834366,1617,1492.5,1417,1486.5,76.3538024270291
"2002/2003",2003,120,120,100,41.7853616845565,168.446716474228,100.516738083023,60.3435878207466,101.793246324517,1494.27338003792,1175.5,936.928142944416,1395,1079.5,1371,1079.5,70.9327064188506
"2003/2004",2004,120,120,100,61.7120787037967,244.731238469856,84.1660187408363,82.9248425562742,104.955107242494,1953.57468228873,1600.5,1329.33984842799,1832,1490,1821,1490,80.0924049518297
"2004/2005",2005,121,121,100,51.1063305144677,229.105356637599,77.8284982308148,70.3042195139517,101.666465583405,1974.45145023643,1686,1469.01282276581,1842,1586.5,1720,1584,84.2310406527585
"2005/2006",2006,120,120,100,48.0996125171352,203.680710437665,89.7056043602597,64.6693910681196,99.5945756647549,1747.80281360798,1425.5,1243.61298067609,1623.5,1349,1531,1348.5,76.55778188356
"2006/2007",2007,120,120,100,57.7752774421275,258.316231322229,83.7303103784678,70.9304454083408,100.99288407034,1795.99216689366,1465,1295.94549713775,1673,1404.5,1533,1404.5,75.2716138378814
"2007/2008",2008,120,120,100,44.4104682433707,179.081615523106,102.585038415134,64.2351879350144,102.941713522724,1455.93442806688,1068,854.634723373892,1340.5,950.5,1332,950.5,65.429093864085
"2008/2009",2009,121,121,100,52.8584336306715,243.923071665646,80.7562321071855,64.181393735625,98.3323184904765,1840.21072875144,1611,1403.14782433502,1736,1533,1594,1524.5,78.182455039876
"2009/2010",2010,120,120,100,57.8459292010902,231.321134224648,86.0304747293562,78.1564851710116,104.085505972359,1932.93050204233,1554.5,1281.15733415908,1830.5,1455.5,1766,1455.5,78.5409410726504
"2010/2011",2011,120,120,100,60.6014810089032,231.313732390878,88.7304159425878,79.2639528575608,103.057409773739,1909.48887169128,1550.5,1301.76783077743,1778.5,1440,1769,1440,74.9905526322291
"2011/2012",2012,120,120,100,37.8281952058703,158.97475619981,102.7316237546,51.6589433324941,97.0787556502205,1379.0396811965,1135,962.425268541323,1271,1060.5,1158,1055,65.4082898567442
"2012/2013",2013,121,121,100,56.6639217454044,231.11714545467,88.4796632957453,79.1926109556106,105.239901826559,1845.86494466693,1454,1206.12757062029,1710.5,1339.5,1704,1336.5,78.3259629758491
"2013/2014",2014,120,120,100,34.8527910535809,128.481176739487,105.032848013854,49.1528506215794,97.0669940621315,1348.47385536026,1102,960.346598886095,1233,1037,1148,1035.5,66.1328580366344
"2014/2015",2015,120,120,100,50.1431919107245,216.885876328193,88.0642239166614,66.6401484357907,100.558489898992,1813.97996655262,1482,1248.8674502811,1713,1399,1616,1389.5,75.8783117818216
"2015/2016",2016,120,120,100,42.8443707047788,163.482229538937,91.7307080015796,59.4238624582313,100.405127668562,1659.00712230782,1346,1172.48050478888,1536.5,1284.5,1405,1284.5,76.9314852628831
"2016/2017",2017,121,121,100,44.4551206528484,197.876263687326,85.8523268750234,59.4286873336007,99.6229172322325,1709.23507098788,1444.5,1230.99881345927,1591.5,1362,1443,1353.5,76.0865991748328
"2017/2018",2018,120,120,100,39.6241350687912,168.396363842059,99.2910271995046,59.8017707722208,100.083832595124,1522.08466554705,1178.5,1014.78093838139,1428,1112,1333,1112,68.0620968503831
"2018/2019",2019,120,120,100,44.3667068788265,167.37688743973,95.8074446625926,64.779068403552,102.253153298893,1673.52416205434,1301,1107.16770641422,1565,1235.5,1533,1233,71.7603308625985
