"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,46.8366999728577,180.488982916304,83.7172637393877,58.7767654086804,95.8321790334805,1881.73130266857,1647,1539.25949805983,1745,1638,1515,1633.5,78.6362963914491
"2002/2003",2003,120,120,100,47.191294076275,162.501405565831,96.6340254862212,65.3480558234329,102.216429885707,1697.48521540833,1375,1130.03945459625,1592,1298,1527,1296.5,74.6970425105413
"2003/2004",2004,120,120,100,63.712780203014,227.727295374806,81.5716398815242,79.9441045878055,102.058331529262,2137.58957142121,1849.5,1577.61182855039,2005.5,1780,1903,1780,82.9897749565753
"2004/2005",2005,121,121,100,49.1072111568113,184.961061994596,76.0258751710393,64.5720838760967,97.8177438171629,2008.13268079801,1790,1613.46553968976,1864.5,1739.5,1594,1733.5,85.1751710123581
"2005/2006",2006,120,120,100,51.0948763582209,185.558043665178,87.4149389603997,64.6573031569071,97.2721350742687,1927.03845411326,1675,1485.48687388571,1808.5,1625.5,1626,1623,80.9562261988538
"2006/2007",2007,120,120,100,56.0858080077018,232.105572660383,81.0344669742659,67.9731070359866,99.4009199882225,1966.77998914655,1679,1503.47107557569,1817.5,1636,1658,1636,78.4007686878923
"2007/2008",2008,120,120,100,51.050197380291,178.928212782813,98.7609488551304,69.7054876485033,102.826455491752,1742.26028553134,1380.5,1097.67310510546,1645.5,1244.5,1656,1244.5,68.7300923093735
"2008/2009",2009,121,121,100,50.0953996687882,200.327280412623,78.6978029705728,60.3424168172834,95.5872908842542,1916.47907553313,1714.5,1545.9477602259,1790.5,1678,1529,1666.5,78.8251543325614
"2009/2010",2010,120,120,100,61.4032613304558,209.329411420193,83.432900581988,76.4064428918,100.952631310309,2086.62017943158,1777,1528.86661824743,1964.5,1685.5,1900,1683.5,81.7587790896087
"2010/2011",2011,120,120,100,64.0843426688922,216.812384446361,86.4726433356565,75.7257038896551,99.4615221690618,2083.90188088434,1827,1569.7201871461,1947.5,1749.5,1868,1749.5,77.8026172410969
"2011/2012",2012,120,120,100,39.3872792883924,140.151586536011,98.4959545706214,53.6625115403792,97.2665054900827,1517.91433407836,1248.5,1093.69692564012,1410,1188.5,1294,1183,70.0045522303524
"2012/2013",2013,121,121,100,61.8926502547468,224.070012849991,86.0937904591793,79.3487660172978,102.512062220643,2079.43775706957,1762.5,1484.42873082285,1961.5,1667,1857,1665.5,82.3279990583376
"2013/2014",2014,120,120,100,36.9307229692576,124.978675783293,101.83132412923,53.237137369983,97.8205813916814,1518.95149898209,1240,1104.1111179209,1391.5,1206.5,1239,1205,70.1818865287223
"2014/2015",2015,120,120,100,52.2317203356382,190.059891425589,84.7461857566154,67.0205093294307,98.959402806871,1971.33843625772,1722.5,1469.20318056023,1857,1633,1708,1624.5,78.9072746109055
"2015/2016",2016,120,120,100,44.3858649224835,148.726792285591,88.9981101277344,59.1736822393062,98.8498879591129,1773.06630438362,1484.5,1324.93000142322,1644.5,1415.5,1462,1415.5,76.9984120048643
"2016/2017",2017,121,121,100,47.3046583976633,179.807463891422,82.8226313960469,62.8948196219023,98.8131469327707,1874.16760587787,1596.5,1408.39664480484,1750,1550,1568,1540,80.31419558787
"2017/2018",2018,120,120,100,44.9795855221834,163.595207596275,96.023838457279,63.2616500916447,99.0995615239316,1703.36912737823,1385,1209.03500524792,1601.5,1317,1452,1317,71.5679944484227
"2018/2019",2019,120,120,100,47.3902934056426,150.147753733276,92.0600027063733,65.8763319536962,101.356560562319,1837.64026905729,1520.5,1313.03227410409,1714,1433.5,1652,1429.5,77.5232007367244
"2019/2020",2020,120,120,100,48.7509538305195,184.896895578937,77.7053954296921,60.9610651324353,96.0974790726407,1989.10382602306,1782.5,1635.5234694939,1845.5,1769.5,1610,1756.5,83.0463287257012
"2020/2021",2021,121,121,100,50.0584367548764,181.533914020177,91.388462156587,71.6540216063086,104.375037534414,1788.36427691717,1431.5,1183.20971661491,1682.5,1325,1579,1325,76.503422730224
"2021/2022",2022,120,120,100,38.5481338908401,144.746569497792,91.4933728600168,54.2633171743224,96.2150595856686,1606.22291631575,1307,1132.60019013533,1481,1245,1407,1213,71.9163264607014
"2022/2023",2023,120,120,100,49.0238714207675,171.348983077928,86.211059664618,70.4182734945751,102.287180320364,1981.99722397311,1625,1406.122921955,1871,1549,1741,1549,77.7489893469397
"2023/2024",2024,120,120,100,58.2692829255757,226.619803903259,73.197117709694,71.7863923500033,97.7849818136297,2200.68937035053,1960.5,1729.81675396568,2065.5,1900,1812,1895,85.7342668555466
"2024/2025",2025,121,121,100,52.9179683898078,187.31600192394,89.2520681277041,71.9124421912592,102.931605572476,2000.93347643437,1655.5,1426.35175203121,1868.5,1577,1788,1577,80.8339801987163
"2025/2026",2026,120,120,100,30.2688306500566,134.738845650728,111.163113952042,45.2308111431332,96.0834539471957,1238.60216979755,972.5,836.126597850809,1139,898.5,1034,897,62.016513836053
"2026/2027",2027,120,120,100,53.8938566150571,206.048907608016,77.8756030948543,70.8081839896113,99.9247723138236,2113.96108680502,1854,1654.86015555407,1994.5,1819,1791,1819,86.7330432923973
"2027/2028",2028,120,120,100,39.1588904488542,130.830629123862,104.864803929771,62.2096673510616,102.5203533768,1556.58535274335,1181.5,959.761532181787,1455,1088.5,1425,1088.5,68.9448504088905
"2028/2029",2029,121,121,100,47.3194106962329,200.349703794963,82.4154271158492,65.3835461567237,100.451266914429,1851.07641548409,1559.5,1347.45212104404,1743.5,1446.5,1592,1445.5,80.6110655674438
"2029/2030",2030,120,120,100,45.0408219535349,173.315629531199,91.3456759067602,61.3272016321246,99.2977276703753,1758.09370342182,1500,1315.74160122752,1637,1432,1508,1429,78.0608671333575
