"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,46.5422940364581,192.113580525964,82.2483153665332,58.5167043825911,95.540894507514,1865.51096507955,1628,1516.03128441835,1727,1611.5,1495,1603,78.3653248552005
"2002/2003",2003,120,120,100,47.7674962049642,173.62116370007,94.8683217102673,65.8518589342169,102.192209273221,1700.15813130207,1369,1139.56768552888,1597,1301.5,1541,1300,74.0380623690344
"2003/2004",2004,120,120,100,63.6399860847578,237.111493615591,80.0889410360699,79.3520073817315,101.457085360047,2125.01843033039,1844.5,1594.01730511934,1994,1783.5,1879,1783.5,83.9937925391375
"2004/2005",2005,121,121,100,49.301383810061,195.152404941761,74.4910359222542,64.4301039355358,97.4088826711575,2001.87402362747,1779.5,1615.56554717867,1864,1749.5,1587,1739.5,85.7392365233173
"2005/2006",2006,120,120,100,51.4143515685468,197.94974161059,85.5642956875249,64.6362945903587,97.1620140676756,1923.34602445357,1675,1486.14902404678,1793.5,1620.5,1607,1618,80.1213344897193
"2006/2007",2007,120,120,100,55.3609657625578,243.265410852841,79.5489238939453,66.7204749356191,98.7900281276904,1944.3840945454,1672.5,1497.99385887519,1800,1623,1613,1622.5,80.0276529640909
"2007/2008",2008,120,120,100,51.576762451088,189.407183929085,97.0601154658642,69.4719930048365,102.454933457782,1741.31468501746,1390.5,1112.36426419105,1640.5,1252.5,1625,1252.5,69.1716495869268
"2008/2009",2009,121,121,100,49.9771998798434,213.941060841025,77.0291191078913,60.1817350772169,95.5077720231568,1911.25768529974,1698,1533.34162739415,1774,1670.5,1542,1658,79.6422721696349
"2009/2010",2010,120,120,100,62.3470573481167,223.292571572023,81.849946799404,76.1226466460924,100.668935644611,2089.02727746286,1783.5,1538.96090740695,1967,1690,1878,1688,80.9520362273665
"2010/2011",2011,120,120,100,63.7780393103266,226.636846407864,84.9136397716393,75.0051081795807,99.043946053112,2076.76502566378,1822.5,1581.86783613123,1935,1751,1839,1750.5,78.0016681481789
"2011/2012",2012,120,120,100,39.7022725081971,150.326874879973,96.7099264284282,53.9918177299293,97.3500994464468,1520.31944512561,1253,1090.42719565906,1401,1198,1273,1192.5,71.0018216597459
"2012/2013",2013,121,121,100,61.7360683975357,235.241200720073,84.4340605010319,78.9059380008212,102.134288361322,2065.08256351348,1751.5,1487.84893530423,1951.5,1656.5,1839,1654,82.2715232401772
"2013/2014",2014,120,120,100,36.6437288672269,132.46439791723,100.04338678641,52.7934209127525,97.7966395606276,1507.89366390262,1233.5,1097.8723497782,1381,1199.5,1223,1197,71.2330879160552
"2014/2015",2015,120,120,100,51.4230924669993,200.394761707401,83.2842492732951,66.0773856600998,98.6389335173168,1949.94861745857,1690.5,1451.42425478361,1836.5,1610.5,1680,1600.5,79.7362830020411
"2015/2016",2016,120,120,100,45.1275168367855,158.346845807356,87.2869966757801,59.8124322531355,98.7727964215432,1781.35811548425,1503,1331.82491693774,1643,1433.5,1457,1433.5,78.2572015921969
"2016/2017",2017,121,121,100,46.8534197663211,190.313283739801,81.2989339382111,62.5606347970009,98.4245930887802,1861.64269227198,1581.5,1396.09885907092,1732,1544.5,1568,1528,79.8757808352598
