"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,41.1491739478821,191.639720991573,104.418144382543,56.0620672312626,97.4310812882127,1335.16808821125,1043.5,874.876278640817,1234.5,964.5,1232,964,65.1662383487814
"2002/2003",2003,120,120,100,20.7463781233457,104.124867210106,119.405441303436,41.8329474770243,98.6911875874525,870.035127094983,507.5,410.009765025298,787.5,434.5,777,434.5,56.7506462666584
"2003/2004",2004,120,120,100,29.6450079437852,154.324839836886,99.9668526589064,59.1208299160917,106.50990769628,1236.80340877307,831,654.266056107345,1120,729,1150,729,68.5504310058808
"2004/2005",2005,121,121,100,40.8231752518159,208.347360575951,92.5637105032205,61.857813683801,104.546041806266,1421.96235012598,1065,877.602403341789,1308.5,977.5,1242,977,73.3739945928164
"2005/2006",2006,120,120,100,35.4607165954067,161.687575553541,107.569317558133,54.8615806128346,99.252599196684,1193.07654299594,859.5,727.226514926224,1085.5,806.5,1032,806.5,66.4111755757098
"2006/2007",2007,120,120,100,37.4820535933931,180.043857319287,99.5208314004767,59.7974871174756,102.73478338247,1219.87746285495,921.5,768.958368995618,1107,869,1053,869,68.0140286359612
"2007/2008",2008,120,120,100,18.6601786824162,100.173302089874,122.870947867111,40.1885814418302,98.7159744724232,797.353792558737,498,389.711231555455,706,436,687,436,53.2738829717023
"2008/2009",2009,121,121,100,41.3563053157268,223.998283413009,96.2191638653473,63.9403209374731,102.712644226698,1354.44529710464,999,830.295406702307,1247,909.5,1198,908,71.2972626404526
"2009/2010",2010,120,120,100,30.4744667459946,153.001060491957,102.7891715608,57.876034012335,105.436585447078,1180.83072295582,773,605.06222497986,1073.5,671.5,1080,671.5,65.0740597069405
"2010/2011",2011,120,120,100,30.580568171238,153.484890621361,106.280452845217,59.6641474493975,104.309970742979,1225.39274975039,842,665.414709725264,1114,750.5,1149,750.5,65.30808272179
"2011/2012",2012,120,120,100,22.0528914836953,128.65355926578,123.320485728249,40.4217275572894,94.9849407479022,934.23152306307,642.5,544.508216654966,860.5,589.5,838,588,58.9760552018327
"2012/2013",2013,121,121,100,28.4570485477927,144.383730955116,105.811017360388,54.3767874019745,104.200735329469,1141.13260501782,783.5,618.48551073972,1035,692,1024,691.5,66.6732962819713
"2013/2014",2014,120,120,100,24.3625149983496,101.053747096416,126.475372488537,37.3056925126608,91.688736395219,948.446587296407,747.5,605.95614527287,882,696,820,696,56.4130971278596
"2014/2015",2015,120,120,100,29.6788612802451,158.724932657364,105.463003024985,50.6696909841495,100.328236340859,1152.77801176618,797.5,666.109987756296,1053,729,994,725,63.47606357022
"2015/2016",2016,120,120,100,27.3587012920862,120.72999389011,109.688362751853,46.3565052066182,99.0444764033711,1084.43547198289,776,660.258422768093,978,724,930,724,61.3059211915797
"2016/2017",2017,121,121,100,30.6468250231154,163.851586135284,102.154885340168,49.8243678869323,100.054259097351,1179.12204898606,857,716.799949779215,1072,770,1006,766.5,65.3743354639992
"2017/2018",2018,120,120,100,22.9971889599622,119.500085479286,118.992133203775,39.6204482758345,96.0957108296318,971.949159126743,691,579.170303564366,873.5,629,846,629,57.8033835091514
"2018/2019",2019,120,120,100,26.7020621133956,118.242783001943,114.941191888027,44.7850750115653,99.4645609554198,1039.33061540349,726.5,573.982228737179,958.5,654,937,654,58.2010324642852
