"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"1973/1974",1974,120,120,100,35.2110016420361,168.189087908759,98.3542744434399,63.447,105.670833333333,1427.89720363168,965.5,773.548293994765,1314,860.5,1293,860.5,65.7536162909643
"1974/1975",1975,120,120,100,46.3316912972085,206.374709084612,87.7678359645484,76.8013,108.866666666667,1769.11648297945,1295.5,1025.96749791555,1648,1155.5,1718,1155.5,77.9966590561872
"1975/1976",1976,120,120,100,32.8021346469622,128.215859518257,106.594826225365,57.0653,103.279166666667,1261.46330332235,848.5,657.659542786411,1164,745.5,1180,745.5,61.7297359056365
"1976/1977",1977,121,121,100,37.9885057471264,140.016015166734,105.591240567648,61.4572,104.404166666667,1371.82000938006,978,753.870899972661,1260,870.5,1261,870.5,62.4330509057417
"1977/1978",1978,120,120,100,22.3875205254516,94.4801033116332,106.766627774838,44.3827,100.8625,1074.03167971754,709.5,573.158044462383,960,629.5,904,626.5,56.7299393083099
"1978/1979",1979,120,120,100,25.3259441707718,124.038813465887,113.343344540151,46.9189,99.3583333333333,1021.24019190769,672,561.368198823871,909.5,605,884,605,53.639243451176
"1979/1980",1980,120,120,100,33.0566502463054,152.507460430666,101.141843859465,58.951,103.933333333333,1368.9352324163,968,801.54966864245,1247.5,877,1219,877,60.0591145518549
"1980/1981",1981,121,121,100,19.2832512315271,77.5205268676986,115.241791551238,32.7256,96.3875,782.37499813571,515.5,416.297827411518,708.5,466,680,466,48.6816749509558
"1981/1982",1982,120,120,100,20.1124794745484,101.739271762179,106.9690551244,40.4241,99.8125,1018.6817380057,664,543.510487092899,919.5,598.5,886,594.5,59.038722379875
"1982/1983",1983,120,120,100,34.9072249589491,142.801645948973,96.8540324281053,56.342,102.6125,1446.29833099408,1056,875.216361199946,1345,960,1342,956.5,68.3950829161288
"1983/1984",1984,120,120,100,24.5821018062397,111.49707857114,106.820156786021,45.7145,100.666666666667,1054.6330397722,686,544.58450714577,938,587.5,952,587,57.2381235615937
"1984/1985",1985,121,121,100,34.6469622331691,156.70311909154,116.316828352336,54.4961,95.55,1204.18035027277,861,724.890927990211,1108,797.5,1046,797,61.2386783488023
"1985/1986",1986,120,120,100,25.7134646962233,107.635801148467,120.086422199002,41.1828,95.5416666666667,977.992118535665,705,562.206417356017,889,635.5,885,635.5,48.4045787714599
"1986/1987",1987,120,120,100,33.4844006568145,136.728009126744,111.677255325717,52.1401,97.3,1229.9163779653,894,741.545322629616,1113,827,1103,824.5,60.4089539727493
"1987/1988",1988,120,120,100,39.73973727422,151.872611604543,93.0753269873636,66.0391,106.145833333333,1622.05904128559,1209,997.833759627982,1493.5,1119.5,1429,1119.5,70.4134498565818
"1988/1989",1989,121,121,100,37.9006568144499,168.439351337596,92.7428612913437,68.0809,108.816666666667,1648.35530738017,1181.5,945.725236127855,1530,1052,1572,1052,72.7763433783989
"1989/1990",1990,120,120,100,31.4926108374384,180.431565544496,86.9725107179457,52.4635,102.345833333333,1407.35692927415,1078.5,928.567519216504,1288,1003.5,1193,998,72.2993390491361
"1990/1991",1991,120,120,100,25.923645320197,104.387275036983,114.749015232632,42.9591,98.6791666666667,1068.89282634262,752,611.629726065206,970,682.5,950,682.5,49.6371750958024
"1991/1992",1992,120,120,100,26.4211822660099,135.450058179987,101.084337681647,54.8197,105.133333333333,1323.54154053905,867.5,698.463537471565,1223,780.5,1184,780.5,67.1082006578981
"1992/1993",1993,121,121,100,41.3563218390805,158.65570993723,98.9283648912308,59.9859,101.5875,1533.48928453797,1182.5,988.582053782855,1413.5,1106.5,1382,1106.5,68.35915858117
"1993/1994",1994,120,120,100,37.76026272578,154.596119420336,102.92040754053,60.7975,102.6875,1459.77894765673,1067.5,834.885439098623,1360.5,939.5,1397,939,68.2458654155421
"1994/1995",1995,120,120,100,46.9844006568145,165.313151358201,90.7230758564702,63.8449,100.408333333333,1771.70244269235,1431,1276.84646264926,1629,1404,1501,1399,75.5631719831936
"1995/1996",1996,120,120,100,19.5262725779967,95.5475271647267,116.271857003087,38.7153,99.575,938.000956791861,605,493.104629351561,860.5,536,811,536,58.41864548285
"1996/1997",1997,121,121,100,25.9466338259442,140.273819088138,110.932331552009,47.192,99.35,1219.00231042702,852.5,729.05120425122,1110.5,773.5,1037,773.5,61.0876879589555
"1997/1998",1998,120,120,100,46.7922824302135,207.151231664424,90.837862353043,67.9613,103.133333333333,1530.31942217532,1163.5,965.474820079377,1437,1084,1358,1077,71.9482346590166
"1998/1999",1999,120,120,100,28.8645320197044,139.100197410427,107.990496602685,52.1769,102.2625,1154.53566781797,774.5,637.765785843912,1045.5,700.5,1016,700.5,57.3184539640097
"1999/2000",2000,120,120,100,30.3210180623974,123.919253585268,101.801441523323,56.4952,104.533333333333,1329.67269180962,895.5,726.003975497486,1228,811.5,1209,810,62.2691513452746
"2000/2001",2001,121,121,100,49.1789819376026,179.561221574501,89.7948583060468,72.1508,105.854166666667,1754.42332115425,1376.5,1138.71936348757,1641.5,1262.5,1621,1262.5,74.8086518192949
"2001/2002",2002,120,120,100,35.8275862068965,143.593298023987,99.9566756992232,54.1832,100.095833333333,1375.53832040814,1042,888.993747575238,1258.5,993.5,1220,992.5,66.9022505798357
"2002/2003",2003,120,120,100,40.7331691297209,152.658682506865,105.721594622143,55.4741,98.3208333333333,1420.87029084527,1128.5,945.144680095058,1307.5,1055,1301,1055,66.6694878577173
"2003/2004",2004,120,120,100,37.0985221674877,168.063899110496,96.9546588439231,57.2578,102.858333333333,1343.1649571498,945,775.679712448997,1247,845,1211,845,65.6654644847486
"2004/2005",2005,121,121,100,21.807881773399,103.506036594097,111.475086994846,45.0891,102.041666666667,1063.11046464863,657,537.164004846425,951.5,585,936,585,55.5359093125626
"2005/2006",2006,120,120,100,14.5509031198686,80.9885298020193,113.607717907819,34.1496,98.75,851.481855986087,486,400.541205311019,754,416.5,697,413.5,50.297225442464
"2006/2007",2007,120,120,100,54.8735632183908,244.907962529597,80.2527091858135,76.2125,103.704166666667,1877.83877560595,1498.5,1286.90292365241,1751.5,1410.5,1606,1408.5,79.2045535663128
"2007/2008",2008,120,120,100,41.235632183908,199.026184756908,91.2652835061212,64.805,105.275,1508.87454395558,1098.5,906.793831844378,1395.5,988,1421,984,70.3702852635624
"2008/2009",2009,121,121,100,21.4819376026273,111.616834497792,107.595331141692,42.4859,102.5875,1036.88051645318,675,549.395063214302,942,600.5,942,599,60.1575278145046
"2009/2010",2010,120,120,100,31.3908045977011,146.73071373249,109.493690786812,48.5814,98.1625,1178.76231632667,883,740.585313605043,1087,810,1076,805.5,63.0192012616671
"2010/2011",2011,120,120,100,27.7717569786535,134.866872282002,108.77387108281,46.1367,98.1,1158.69719274025,809.5,692.499732053562,1050.5,746.5,988,740,59.7223244169882
"2011/2012",2012,120,120,100,36.8834154351396,178.862284202776,103.376460410632,62.325,101.275,1413.42729007063,988.5,803.96204072304,1303.5,892.5,1296,885.5,66.8282534940372
"2012/2013",2013,121,121,100,34.5311986863711,124.660790278641,108.613251586674,53.3179,101.391666666667,1316.8197341311,1001.5,809.525082745793,1234.5,920.5,1173,920.5,56.5334256356809
"2013/2014",2014,120,120,100,40.7660098522167,199.710346869999,89.2063317920447,75.21,109.65,1687.0907984513,1118.5,911.698410912897,1562,962,1600,962,74.3927252933163
"2014/2015",2015,120,120,100,32.3809523809524,135.080352250654,97.3360424947963,55.2204,103.458333333333,1403.97960677388,1016,833.960793036953,1285,942.5,1217,936,62.5988669101816
"2015/2016",2016,120,120,100,43.0361247947455,233.045659624986,81.5528089849914,66.1379,102.558333333333,1681.3827894821,1291,1093.37631472209,1558.5,1197.5,1493,1177.5,74.9929428741871
"2016/2017",2017,121,121,100,30.8604269293924,159.926086848434,100.569173859153,55.0245,103.179166666667,1266.35184110724,930,774.479318302387,1151.5,850.5,1115,850,68.6939970714311
"2017/2018",2018,120,120,100,35.3144499178982,144.66939165932,102.855701683893,60.2639,104.6125,1398.31242703216,983.5,755.680047551825,1287,860.5,1293,860.5,60.1574248805691
"2018/2019",2019,120,120,100,33.9860426929392,165.455877113662,91.9894399457829,56.2127,103.0375,1448.21895031707,1058,907.683896145812,1327,980.5,1249,976,70.1115884233704
