"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"1973/1974",1974,120,120,100,65.7540995142688,605.465464074805,1431
"1974/1975",1975,120,120,100,77.9837086948123,571.311205003803,1021
"1975/1976",1976,120,120,100,61.7304499781463,375.830706201639,1613
"1976/1977",1977,121,121,100,62.4335594258126,376.453266597644,1539
"1977/1978",1978,120,120,100,56.7275985629294,1095.90904269886,1759
"1978/1979",1979,120,120,100,53.6399395494924,378.149042828212,1890
"1979/1980",1980,120,120,100,60.0598789789342,679.864829508937,1481
"1980/1981",1981,121,121,100,48.682142521579,464.265291127842,2133
"1981/1982",1982,120,120,100,59.0025331765598,824.818385025312,1830
"1982/1983",1983,120,120,100,68.3958283696027,1074.50639834296,1322
"1983/1984",1984,120,120,100,57.2390109326366,771.100050635869,1763
"1984/1985",1985,121,121,100,61.2395809987804,974.137543449295,1633
"1985/1986",1986,120,120,100,48.4049770456654,455.405788053875,1890
"1986/1987",1987,120,120,100,60.4095486476294,797.561093888013,1596
"1987/1988",1988,120,120,100,70.4141472237816,771.114157467848,1226
"1988/1989",1989,121,121,100,72.7772362165606,526.117444049683,1185
"1989/1990",1990,120,120,100,72.3003784455773,1895.12432412617,1293
"1990/1991",1991,120,120,100,49.6377079492231,563.683023752994,1804
"1991/1992",1992,120,120,100,67.1087547665015,452.781861697673,1571
"1992/1993",1993,121,121,100,68.3599938275738,862.981334617245,1309
"1993/1994",1994,120,120,100,68.2466453396642,616.992762468988,1336
"1994/1995",1995,120,120,100,75.5638079921578,1444.72708296787,995
"1995/1996",1996,120,120,100,58.4191196728548,347.282277002349,1985
"1996/1997",1997,121,121,100,61.0881022818403,1035.87131532968,1615
"1997/1998",1998,120,120,100,71.9491988113923,1491.56896760804,1217
"1998/1999",1999,120,120,100,57.3192823734016,497.668059580494,1728
"1999/2000",2000,120,120,100,62.269943749332,632.837830892764,1543
"2000/2001",2001,121,121,100,74.8093943733538,1027.64735462517,1026
"2001/2002",2002,120,120,100,66.9028901282136,855.738632882712,1437
"2002/2003",2003,120,120,100,66.6700590667142,702.737262990559,1372
"2003/2004",2004,120,120,100,65.6664714023127,1081.60177833401,1449
"2004/2005",2005,121,121,100,55.536512768178,447.476587268058,1848
"2005/2006",2006,120,120,100,50.2975356667494,698.190083217574,2043
"2006/2007",2007,120,120,100,79.2055891071259,1930.02026693127,814
"2007/2008",2008,120,120,100,70.3713263901209,868.147246656241,1265
"2008/2009",2009,121,121,100,60.1580015091185,683.115375318564,1831
"2009/2010",2010,120,120,100,63.0197997102541,877.000343322288,1617
"2010/2011",2011,120,120,100,59.7228721998181,1251.10730746877,1629
"2011/2012",2012,120,120,100,66.8293521465066,1188.59393997234,1356
"2012/2013",2013,121,121,100,56.5338968872275,627.191069024149,1581
"2013/2014",2014,120,120,100,74.3935429882058,803.440258588875,1094
"2014/2015",2015,120,120,100,62.5994435847642,1071.67433104152,1450
"2015/2016",2016,120,120,100,74.9938499611217,2646.09068591706,923
"2016/2017",2017,121,121,100,68.6948446750594,932.51149388426,1578
"2017/2018",2018,120,120,100,60.1584115855421,532.901880742516,1456
"2018/2019",2019,120,120,100,70.1120483351397,1686.78666940145,1290
