"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Model","Chill_portions","GDH","Data_source"
"1998/1999",1999,120,120,100,1016,700.5,57.3192823734014,497.668059580496,"observed"
"1999/2000",2000,120,120,100,1209,810,62.2699437493318,632.83783089263,"observed"
"2000/2001",2001,121,121,100,1621,1262.5,74.8094056009987,1027.64735462511,"observed"
"2001/2002",2002,120,120,100,1220,992.5,66.9028901282139,855.738632882815,"observed"
"2002/2003",2003,120,120,100,1301,1055,66.6700590667142,702.737262990363,"observed"
"2003/2004",2004,120,120,100,1211,845,65.6664714557732,1081.60177833396,"observed"
"2004/2005",2005,121,121,100,936,585,55.5365127681779,447.476587267985,"observed"
"2001/2002",2002,120,120,100,1388,1182.5,74.4676376561372,1229.45034779547,"simulated"
"2002/2003",2003,120,120,100,1338,984.5,68.4156038833025,1144.53448227234,"simulated"
"2003/2004",2004,120,120,100,1054,736.5,65.0201298488541,692.376315750961,"simulated"
"2004/2005",2005,121,121,100,1266,882.5,71.6923039446229,907.547655095805,"simulated"
"2005/2006",2006,120,120,100,1565,1242,78.0249552227397,932.40616950771,"simulated"
"2006/2007",2007,120,120,100,1289,994.5,72.4700728465412,1109.26778868205,"simulated"
"2007/2008",2008,120,120,100,1004,740,61.4932278350517,449.85411586895,"simulated"
"2008/2009",2009,121,121,100,1304,983.5,67.2172972935121,898.967787809934,"simulated"
"2009/2010",2010,120,120,100,1311,959.5,66.7985885408388,786.726744637128,"simulated"
"2010/2011",2011,120,120,100,1318,922.5,66.3150643243315,463.834881709912,"simulated"
"2011/2012",2012,120,120,100,1129,797,66.5508537785877,593.199029136685,"simulated"
"2012/2013",2013,121,121,100,1254,859,70.0383839043685,809.55620548604,"simulated"
"2013/2014",2014,120,120,100,1032,670,62.7962149792484,765.467297581473,"simulated"
"2014/2015",2015,120,120,100,781,714.5,55.2801287022994,1159.87530908113,"simulated"
"2015/2016",2016,120,120,100,1297,980,70.4608452212036,776.212779628636,"simulated"
"2016/2017",2017,121,121,100,1129,960,71.5470648724935,1534.5494633613,"simulated"
"2017/2018",2018,120,120,100,1181,980.5,66.525129186428,1027.97178659897,"simulated"
"2018/2019",2019,120,120,100,903,612.5,54.6573041409386,547.137825583799,"simulated"
"2019/2020",2020,120,120,100,1262,1068.5,73.5828536273234,1352.66649623697,"simulated"
"2020/2021",2021,121,121,100,1437,1140,74.5170372185534,1523.3163042773,"simulated"
"2021/2022",2022,120,120,100,860,667.5,53.5782238140069,605.398986107868,"simulated"
"2022/2023",2023,120,120,100,1067,885.5,61.1997168840842,723.411728880385,"simulated"
"2023/2024",2024,120,120,100,1478,1117,72.952422476281,1140.0094876113,"simulated"
"2024/2025",2025,121,121,100,1420,1077,73.3014889971574,736.163487530229,"simulated"
"2025/2026",2026,120,120,100,1175,981.5,68.70723152683,1144.14108182436,"simulated"
"2026/2027",2027,120,120,100,928,650,59.0181517083364,634.24641313767,"simulated"
"2027/2028",2028,120,120,100,1138,839,59.7077497140973,636.498215704336,"simulated"
