"","Month","Tmin","Tmax","Chill_eff","Heat_eff"
"2",10,-20,-15,0,0
"3",10,-20,-14,0,0
"4",10,-20,-13,0,0
"5",10,-20,-12,0,0
"6",10,-20,-11,0,0
"7",10,-20,-10,0,0
"8",10,-20,-9,0,0
"9",10,-20,-8,0,0
"10",10,-20,-7,0,0
"11",10,-20,-6,0,0
"12",10,-20,-5,0,0
"13",10,-20,-4,0,0
"14",10,-20,-3,0,0
"15",10,-20,-2,0,0
"16",10,-20,-1,6.94217531826481e-09,0
"17",10,-20,0,3.92045199471319e-06,0
"18",10,-20,1,0.00185897814253069,0
"19",10,-20,2,0.445162277951578,5.43397350789565e-05
"20",10,-20,3,0.877067682387174,0.00701254424140176
"21",10,-20,4,0.754792974316003,0.0332662601291476
"22",10,-20,5,0.918290737123097,0.0851922879679393
"23",10,-20,6,0.802305386889929,0.167731814943273
"24",10,-20,7,0.783397020021898,0.280056198663197
"25",10,-20,8,0.869360561126562,0.424162367419167
"26",10,-20,9,1.00291713933591,0.602767805171948
"27",10,-20,10,1.00663261414584,0.814414971058855
"28",10,-20,11,1.00449700707532,1.05645209682859
"29",10,-20,12,0.903189150701008,1.32593562325761
"30",10,-20,13,0.886247565817901,1.62029305502357
"31",10,-20,14,0.887209145214623,1.93719053129606
"32",10,-20,15,0.906756022748308,2.27397461479593
"33",10,-20,16,0.990628242672482,2.62762802732115
"34",10,-20,17,0.9908476949198,2.99457009864909
"35",10,-20,18,0.980008230473558,3.37099880011197
"36",10,-20,19,0.765261984671316,3.75280866112952
"37",10,-20,20,0.5158756175356,4.13562726746913
"38",10,-20,21,0.445536412692375,4.51513344677365
"39",10,-20,22,0.309493434862529,4.8872632624937
"40",10,-20,23,0,5.24815773928216
"41",10,-20,24,0,5.59416291029459
"42",10,-20,25,0,5.92206863071226
"43",10,-20,26,0,6.2290150432281
"44",10,-20,27,0,6.51247540877149
"45",10,-20,28,0,6.77021845014623
"46",10,-20,29,0,6.82896759781797
"47",10,-20,30,0,6.45230684988161
"48",10,-19,-15,0,0
"49",10,-19,-14,0,0
"50",10,-19,-13,0,0
"51",10,-19,-12,0,0
"52",10,-19,-11,0,0
"53",10,-19,-10,0,0
"54",10,-19,-9,0,0
"55",10,-19,-8,0,0
"56",10,-19,-7,0,0
"57",10,-19,-6,0,0
"58",10,-19,-5,0,0
"59",10,-19,-4,0,0
"60",10,-19,-3,0,0
"61",10,-19,-2,0,0
"62",10,-19,-1,6.86136995207086e-09,0
"63",10,-19,0,3.94065617951521e-06,0
"64",10,-19,1,0.00186686679482021,0
"65",10,-19,2,0.44986478157091,5.43397350789565e-05
"66",10,-19,3,0.894771980723108,0.00720525851324896
"67",10,-19,4,0.79103142683227,0.0338633336692375
"68",10,-19,5,0.970238699282084,0.0871488997392563
