"Month","Tmin","Tmax","CP"
10,-20,-15,1.06617613893466e-13
10,-20,-14,6.25887009862823e-13
10,-20,-13,3.67212574111152e-12
10,-20,-12,2.1445215022634e-11
10,-20,-11,1.24321512770216e-10
10,-20,-10,7.14097851293432e-10
10,-20,-9,4.05853265204464e-09
10,-20,-8,2.27986521439784e-08
10,-20,-7,1.26475453161802e-07
10,-20,-6,6.92545116116383e-07
10,-20,-5,3.74414731918503e-06
10,-20,-4,2.00079230917276e-05
10,-20,-3,0.000104816147251864
10,-20,-2,0.000539890557671145
10,-20,-1,0.00272665396390423
10,-20,0,0.0133320920554528
10,-20,1,0.0597063613500969
10,-20,2,0.201448607272189
10,-20,3,0.386461943766131
10,-20,4,0.404709983622083
10,-20,5,0.445015564861421
10,-20,6,0.455594697559327
10,-20,7,0.480116958143792
10,-20,8,0.505758224447546
10,-20,9,0.49104817994212
10,-20,10,0.49290373333953
10,-20,11,0.489564305923099
10,-20,12,0.521718010019233
10,-20,13,0.537077834514321
10,-20,14,0.469315389064348
10,-20,15,0.454247964768631
10,-20,16,0.412295682721331
10,-20,17,0.397084722255377
10,-20,18,0.42899314240459
10,-20,19,0.44664218079285
10,-20,20,0.334870932798901
10,-20,21,0.322640800058611
10,-20,22,0
10,-20,23,0
10,-20,24,0
10,-20,25,0
10,-20,26,0
10,-20,27,0
10,-20,28,0
10,-20,29,0
10,-20,30,0
10,-19,-15,1.23142993364309e-13
10,-19,-14,7.04815734566423e-13
10,-19,-13,4.06880521040968e-12
10,-19,-12,2.3486064754831e-11
10,-19,-11,1.34929231438594e-10
10,-19,-10,7.69379899760593e-10
10,-19,-9,4.34600138034398e-09
10,-19,-8,2.42872500890279e-08
10,-19,-7,1.34169389225596e-07
10,-19,-6,7.32605255495975e-07
10,-19,-5,3.95726239868346e-06
10,-19,-4,2.09843747961263e-05
10,-19,-3,0.000109550691543915
10,-19,-2,0.00056260705145788
10,-19,-1,0.00283343270967376
10,-19,0,0.0138149492682817
10,-19,1,0.0616560648459019
10,-19,2,0.20704553227853
10,-19,3,0.395799128253864
10,-19,4,0.41070343911177
10,-19,5,0.4561074554002
10,-19,6,0.442949188562543
10,-19,7,0.491410358318858
10,-19,8,0.495904318720133
10,-19,9,0.497086194422971
10,-19,10,0.485245860785442
10,-19,11,0.512164106687969
10,-19,12,0.535757875316426
10,-19,13,0.522828554894323
10,-19,14,0.487859135076429
10,-19,15,0.447105708638393
10,-19,16,0.440951675431968
10,-19,17,0.433817035989601
10,-19,18,0.447772450536303
10,-19,19,0.46916057272638
10,-19,20,0.366675316432006
10,-19,21,0.269252920110559
10,-19,22,0.0317458640979117
10,-19,23,0
10,-19,24,0
10,-19,25,0
10,-19,26,0
10,-19,27,0
10,-19,28,0
10,-19,29,0
10,-19,30,0
10,-18,-15,1.48451970425669e-13
10,-18,-14,8.12500492628156e-13
10,-18,-13,4.5744840899325e-12
10,-18,-12,2.59789243403713e-11
10,-18,-11,1.47508958254161e-10
10,-18,-10,8.3350589590049e-10
10,-18,-9,4.67370857320184e-09
10,-18,-8,2.59734670271615e-08
10,-18,-7,1.42890005223007e-07
10,-18,-6,7.78613327664946e-07
10,-18,-5,4.17179546519905e-06
10,-18,-4,2.20307409136647e-05
10,-18,-3,0.000114613946361674
10,-18,-2,0.000586736609324646
10,-18,-1,0.00294609909672911
10,-18,0,0.0143211172899039
10,-18,1,0.0636853491151506
10,-18,2,0.212832695065025
10,-18,3,0.405517410477974
10,-18,4,0.421693537854767
10,-18,5,0.467543138188202
10,-18,6,0.463281920892632
10,-18,7,0.479828385466648
10,-18,8,0.517541740800339
10,-18,9,0.508761888694994
10,-18,10,0.504446599072869
10,-18,11,0.521506628298721
10,-18,12,0.548703739108147
10,-18,13,0.492973297999965
10,-18,14,0.491863542746314
10,-18,15,0.465355922374233
10,-18,16,0.434049958615121
10,-18,17,0.471931719728406
10,-18,18,0.476836364879278
10,-18,19,0.486059773130339
10,-18,20,0.45166483803839
10,-18,21,0.306280075565698
10,-18,22,0.0643908974333181
10,-18,23,0
10,-18,24,0
10,-18,25,0
10,-18,26,0
10,-18,27,0
10,-18,28,0
10,-18,29,0
10,-18,30,0
10,-17,-15,1.96251839178925e-13
10,-17,-14,9.78043419313648e-13
10,-17,-13,5.26448950258197e-12
10,-17,-12,2.91537020679005e-11
10,-17,-11,1.62849004114861e-10
10,-17,-10,9.0941046674788e-10
10,-17,-9,5.0571769402347e-09
10,-17,-8,2.79208234830148e-08
10,-17,-7,1.53008696970514e-07
10,-17,-6,8.2633348002573e-07
10,-17,-5,4.40485172412052e-06
10,-17,-4,2.31627825339345e-05
10,-17,-3,0.000120046299821217
10,-17,-2,0.000612416841316014
10,-17,-1,0.00306511168123972
10,-17,0,0.0148519385399367
10,-17,1,0.0657969668465873
10,-17,2,0.218813418779756
10,-17,3,0.415460915380523
10,-17,4,0.432441358835659
10,-17,5,0.479309588079121
10,-17,6,0.482739742926793
10,-17,7,0.503045327796821
10,-17,8,0.524356439110641
10,-17,9,0.525004639652561
10,-17,10,0.516540200479829
10,-17,11,0.539851805888991
10,-17,12,0.560492767668204
10,-17,13,0.515634449116772
10,-17,14,0.480487601305403
10,-17,15,0.475056981515176
10,-17,16,0.470159921825416
10,-17,17,0.478003502243883
10,-17,18,0.498929241565443
10,-17,19,0.49884374312444
10,-17,20,0.435472425753254
10,-17,21,0.287757505847262
10,-17,22,0.129260424886223
10,-17,23,0
10,-17,24,0
10,-17,25,0
10,-17,26,0
10,-17,27,0
10,-17,28,0
10,-17,29,0
10,-17,30,0
10,-16,-15,3.18222770092712e-13
10,-16,-14,1.29132858818208e-12
10,-16,-13,6.32689407101758e-12
10,-16,-12,3.34880097150127e-11
10,-16,-11,1.82383429103037e-10
10,-16,-10,1.00285363575118e-09
10,-16,-9,5.52484811272233e-09
10,-16,-8,3.02278190357066e-08
10,-16,-7,1.63899773694445e-07
10,-16,-6,8.79215851864287e-07
10,-16,-5,4.66114116267567e-06
10,-16,-4,2.43943903492995e-05
10,-16,-3,0.000125896541416242
10,-16,-2,0.000639818841895621
10,-16,-1,0.00319103497113246
10,-16,0,0.0154090558392347
10,-16,1,0.067994327342905
10,-16,2,0.224991965146048
10,-16,3,0.42619637556186
10,-16,4,0.444388647050272
10,-16,5,0.474757458967477
10,-16,6,0.501499475189295
10,-16,7,0.517998384566848
10,-16,8,0.500070665365466
10,-16,9,0.538131507218445
10,-16,10,0.546259660519883
10,-16,11,0.556338407086479
10,-16,12,0.561145294536598
10,-16,13,0.513633675646632
10,-16,14,0.479947537301814
10,-16,15,0.464784572929912
10,-16,16,0.495084031937689
10,-16,17,0.506678305396926
10,-16,18,0.515450674432818
10,-16,19,0.485456694080667
10,-16,20,0.376242174044775
10,-16,21,0.254772496251215
10,-16,22,0.194231445758901
10,-16,23,0
10,-16,24,0
10,-16,25,0
10,-16,26,0
10,-16,27,0
10,-16,28,0
10,-16,29,0
10,-16,30,0
10,-15,-15,7.41067287747357e-13
10,-15,-14,2.08952794459887e-12
10,-15,-13,8.34177729018877e-12
10,-15,-12,4.01966512295297e-11
10,-15,-11,2.09296685663804e-10
10,-15,-10,1.12390481028215e-09
10,-15,-9,6.07917980190362e-09
10,-15,-8,3.28411445440811e-08
10,-15,-7,1.76350920861508e-07
10,-15,-6,9.38795132392404e-07
10,-15,-5,4.94563517522794e-06
