"Station_ID","YEARMODA","Year","Month","Day","Tmin","Tmean","Tmax","Rainfall"
"04166",19900101,1990,1,1,-8.4,-4.1,3,0
"04166",19900102,1990,1,2,-8,-2.6,4.6,0
"04166",19900103,1990,1,3,-5.2,-0.5,0.7,0
"04166",19900104,1990,1,4,-4.5,-2.2,2,0
"04166",19900105,1990,1,5,-6.7,-0.4,2.4,6.9
"04166",19900106,1990,1,6,-3.6,-0.9,4,0
"04166",19900107,1990,1,7,-4.5,-1,2.7,0
"04166",19900108,1990,1,8,-5.8,-0.3,2.7,0.1
"04166",19900109,1990,1,9,-2.8,-1.2,1.2,0
"04166",19900110,1990,1,10,-3.1,-2,-1,0
"04166",19900111,1990,1,11,-4.4,-3.6,-1,0.2
"04166",19900112,1990,1,12,-9,-4.4,2.1,0
"04166",19900113,1990,1,13,-8.4,-3.3,3.5,0
"04166",19900114,1990,1,14,-7.3,-1.7,4.1,0.1
"04166",19900115,1990,1,15,-3.7,2.9,7.7,1.7
"04166",19900116,1990,1,16,3.7,6.8,9.9,0
"04166",19900117,1990,1,17,4,6.9,9.3,2.8
"04166",19900118,1990,1,18,-2.2,0.5,6.4,0
"04166",19900119,1990,1,19,-5.7,-1.4,3.7,0
"04166",19900120,1990,1,20,-2.3,5.2,7.4,0.1
"04166",19900121,1990,1,21,5.1,6.8,9.5,0
"04166",19900122,1990,1,22,-1.2,1.5,5.9,0
"04166",19900123,1990,1,23,-4.1,6,10.5,2.9
"04166",19900124,1990,1,24,4.1,6,9.6,4.1
"04166",19900125,1990,1,25,3.2,9.9,13.5,10.8
"04166",19900126,1990,1,26,4,5.4,12,0.4
"04166",19900127,1990,1,27,3.5,6.6,10.7,0
"04166",19900128,1990,1,28,1.2,4.6,9.9,0.8
"04166",19900129,1990,1,29,-1.3,1.4,8.1,0
"04166",19900130,1990,1,30,-1.6,5.5,10.4,0
"04166",19900131,1990,1,31,-0.8,3.8,11.2,0
"04166",19900201,1990,2,1,0,4.8,13.1,0
"04166",19900202,1990,2,2,-0.6,3.9,10,2.3
"04166",19900203,1990,2,3,-2.8,7.8,12.9,0
"04166",19900204,1990,2,4,0.6,3.2,11.6,0
"04166",19900205,1990,2,5,-5.1,2.2,11.7,0
"04166",19900206,1990,2,6,-5.5,0.9,10.3,0
"04166",19900207,1990,2,7,-1.9,7.5,16.6,0
"04166",19900208,1990,2,8,6,8.6,16.8,2.6
"04166",19900209,1990,2,9,0.9,3.7,7.6,0
"04166",19900210,1990,2,10,-5.2,4.6,8.4,3
