"Station_name","Region","Station_ID","Elevation","Latitude","Longitude","Begin","End","Distance"
"Lenningen-Schopfloch","Baden-W<fc>rttemberg","02949",758,48.5396,9.5275,"19470801","20020131",10.92
"M<fc>nsingen-Apfelstetten","Baden-W<fc>rttemberg","03402",755,48.3851,9.4837,"19460101","20211231",13.21
"Reutlingen-Betzingen","Baden-W<fc>rttemberg","04166",360,48.5051,9.1833,"19880501","20021231",16.1
"N<fc>rtingen","Baden-W<fc>rttemberg","03671",280,48.6321,9.3261,"19550101","19910331",16.72
"Trochtelfingen-Wilsingen","Baden-W<fc>rttemberg","05107",769,48.2814,9.3137,"19880601","20031231",24.06
"Stuttgart-Echterdingen","Baden-W<fc>rttemberg","04931",371,48.6883,9.2235,"19530101","20211231",25.61
"Merklingen","Baden-W<fc>rttemberg","02814",687,48.5122,9.7644,"19490101","20211231",27.04
"Ebersbach/Fils","Baden-W<fc>rttemberg","01102",300,48.7201,9.5328,"19871101","20021231",27.4
"Rottenburg-Kiebingen","Baden-W<fc>rttemberg","04294",360,48.4704,8.9687,"19790701","20021031",31.96
"Hechingen","Baden-W<fc>rttemberg","02074",518,48.3752,8.98,"19470101","20211231",33.6
"Stuttgart (Neckartal)","Baden-W<fc>rttemberg","04926",224,48.7896,9.2167,"19460101","20130514",35.95
"B<f6>blingen","Baden-W<fc>rttemberg","00576",445,48.6759,8.9732,"19870801","20031231",37.67
"Albstadt-Onstmettingen","Baden-W<fc>rttemberg","00072",794,48.2766,9.0001,"19780901","19950531",37.95
"Waiblingen","Baden-W<fc>rttemberg","05284",224,48.8279,9.3228,"19780101","19911231",38
"St<f6>tten","Baden-W<fc>rttemberg","04887",734,48.6656,9.8648,"19470101","20211231",39.47
"Stuttgart (Schnarrenberg)","Baden-W<fc>rttemberg","04928",314,48.8281,9.2,"19580101","20211231",40.38
"Schemmerhofen-Ingerkingen","Baden-W<fc>rttemberg","04433",519,48.1994,9.77,"19870101","20041231",42.38
"Ulm","Baden-W<fc>rttemberg","05155",567,48.3837,9.9524,"19440101","20140901",42.55
"Schw<e4>bisch Gm<fc>nd-Strassdorf","Baden-W<fc>rttemberg","04581",415,48.7768,9.8025,"19510101","20021031",43.56
"Albstadt-Badkap","Baden-W<fc>rttemberg","00071",759,48.2156,8.9784,"19861101","20191231",43.67
"Ulm-Wilhelmsburg","Baden-W<fc>rttemberg","05154",576,48.4,9.9833,"19740101","19960930",44.3
"Renningen-Ihinger Hof","Baden-W<fc>rttemberg","04160",478,48.7425,8.924,"19701222","20211231",44.95
"Laupheim","Baden-W<fc>rttemberg","02886",539,48.2175,9.9097,"19700101","20211231",48.43
"Sigmaringen-Laiz","Baden-W<fc>rttemberg","04703",581,48.0719,9.1943,"19510101","20211231",48.93
"Nagold","Baden-W<fc>rttemberg","03432",380,48.5675,8.7179,"19490101","19950331",51.11
