"chillR_code","STATION.NAME","CTRY","Lat","Long","BEGIN","END","distance","Overlap_years","Perc_interval_covered"
"022630_99999","FREDRIKA","SW",64.083,18.367,20010701,20230307,28.78,19.5,62.91
"022640_99999","FREDRIKA","SW",64.083,18.417,19730101,20021028,29.12,12.83,41.37
"023260_99999","FREDRIKA","SW",64.083,18.417,19770701,20041221,29.12,14.97,48.3
"022455_99999","LYCKSELE","SW",64.548,18.716,19980408,20230307,30.33,22.73,73.33
"022610_99999","LYCKSELE","SW",64.55,18.717,19730101,20230307,30.53,31,100
"020630_99999","ASELE","SW",64.167,17.367,19550101,19770630,49.62,0,0
"022540_99999","ASELE","SW",64.167,17.317,19770701,20230307,51.87,31,100
"022520_99999","IDVATTNET","SW",64.45,17.083,19830201,20040922,60.45,14.73,47.51
"022560_99999","RISTRASK","SW",64.733,17.4,20010701,20160421,61.86,14.81,47.77
"022740_99999","VINDELN","SW",64.217,19.717,19960501,19971231,69.52,1.67,5.39
"022820_99999","PETISTRASK","SW",64.567,19.7,20010701,20230307,71.53,19.5,62.91
"021205_99999","STORUMAN","SW",64.95,17.7,20050419,20230307,73.99,15.7,50.65
"022450_99999","VILHELMINA","SW",64.583,16.85,19960801,20230307,75.3,24.42,78.76
"022660_99999","VILHELMINA (AUTO)","SW",64.583,16.85,20020608,20020608,75.3,0,0.01
"021290_99999","GUNNARN SOL (AUT)","SW",64.967,17.7,19730101,19861125,75.74,0,0
"022650_99999","HEMLING","SW",63.65,18.55,20010701,20230307,77.81,19.5,62.91
"021280_99999","GUNNARN","SW",65,17.7,19730101,19971231,79.14,8,25.81
"021260_99999","GUNNARN","SW",65.017,17.7,19730101,20211212,80.9,31,100
"022710_99999","NORSJO","SW",64.933,19.383,20010701,20230307,83.68,19.5,62.91
"022700_99999","NORSJO","SW",64.917,19.467,20010614,20030914,84.85,2.25,7.27
"021470_99999","MALA-BRANNAN","SW",65.15,18.6,19730101,20230307,91.36,31,100
"020560_99999","STENSELE","SZ",65.067,17.167,19550101,19591231,97.68,0,0
"021270_99999","STENSELE","SW",65.067,17.167,19310103,20050823,97.68,15.64,50.47
"022430_99999","JUNSELE","SW",63.683,16.95,19730101,20230307,98.94,31,100
"022440_99999","JUNSELE","SW",63.683,16.95,19960201,19971231,98.94,1.92,6.18
